Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
51023,443,6,151054,6,8,1076.0,4575.0,821.0,0.0,179.33333333333334,321.621931258841,1418.0,0.0,571.875,679.5322840012827,37410.462483615134,92.68208720060376,11619.538461538465,14541.155883763076,49105.0,24.0,101887.0,20377.4,12821.55073694286,30425.0,111.0,128516.0,18359.42857142857,24038.55785924732,54822.0,24.0,0,0,0,0,200,264,39.72089451454447,52.96119268605929,0.0,1418.0,376.7333333333333,562.5149479495337,316423.0666666667,0,0,0,1,0,0,0,0,1.0,403.6428571428572,179.33333333333334,571.875,200,0,0,0,0,0,0,6,1076,8,4575,65535,353,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55509,443,6,37055,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,836.594251787883,53.973822695992446,37055.0,0.0,37055.0,37055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,32,32,26.986911347996223,26.986911347996223,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1548,391,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44852,443,6,178727,6,7,1313.0,307.0,753.0,0.0,218.8333333333333,331.3061524733078,168.0,0.0,43.85714285714285,75.36672247844442,9064.103353158727,72.73663184633547,14893.916666666668,18532.64075015329,62243.0,55.0,125550.0,25110.0,28468.23202273018,70464.0,172.0,156011.0,26001.833333333336,24955.90182234789,67743.0,55.0,0,0,0,0,200,232,33.57075315984714,39.165878686488334,0.0,753.0,115.71428571428572,231.42283265167995,53556.527472527465,0,0,0,1,0,0,0,0,1.0,124.6153846153846,218.83333333333331,43.85714285714285,200,0,0,0,0,0,0,6,1313,7,307,65535,352,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
43492,443,6,35978,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,861.6376674634498,83.3842903996887,17989.0,25362.506027599087,35923.0,55.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,32,64,27.794763466562895,55.5895269331258,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
51656,443,6,37591,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.20422441541859,37591.0,0.0,37591.0,37591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,26.602112207709293,26.602112207709293,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
51537,443,6,37322,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.58769626493757,37322.0,0.0,37322.0,37322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,26.793848132468785,26.793848132468785,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38107,443,6,42629,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9164184006193,42629.0,0.0,42629.0,42629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,23.45820920030965,23.45820920030965,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,349,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53185,80,6,5064091,4,4,372.0,489.0,372.0,0.0,93.0,186.0,489.0,0.0,122.25,244.5,170.02064141422417,1.579750442873163,723441.5714285714,1884839.3790794527,4997757.0,265.0,66334.0,22111.33333333333,18283.588825319097,32901.0,1001.0,5034924.0,1678308.0,2877534.0627945657,5000942.0,265.0,0,0,0,0,136,136,0.7898752214365815,0.7898752214365815,0.0,489.0,95.66666666666669,192.07290282598427,36892.0,0,0,0,1,0,0,0,0,1.0,107.625,93.0,122.25,136,0,0,0,0,0,0,4,372,4,489,65535,59,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36721,443,6,71083269,4,6,217.0,257.0,217.0,0.0,54.25,108.5,138.0,0.0,42.83333333333333,56.087134591336245,6.66823581228376,0.1406800804279274,7898141.0,21504666.822386112,64998473.0,39.0,6084742.0,2028247.3333333333,3456062.013811142,6018964.0,32799.0,71053084.0,14210616.8,28513303.84726838,65000930.0,39.0,0,0,0,0,136,200,0.0562720321711709,0.0844080482567564,0.0,217.0,43.09090909090909,73.07592564648708,5340.090909090909,0,0,0,1,0,0,0,0,1.0,47.4,54.25,42.833333333333336,136,0,0,0,0,0,0,4,217,6,257,65535,114,1,32,32889.0,127.27922061357856,32979.0,32799.0,35508718.5,41704810.76495301,64998473.0,6018964.0,0
36722,443,6,71048086,4,6,219.0,257.0,219.0,0.0,54.75,109.5,138.0,0.0,42.83333333333333,56.087134591336245,6.699687870550095,0.1407497451796238,7894231.777777778,21503470.6367249,64994296.0,35.0,6053735.0,2017911.6666666665,3434402.38932632,5983617.0,32676.0,71017916.0,14203583.2,28516078.518502384,65001398.0,35.0,0,0,0,0,136,200,0.0562998980718495,0.0844498471077743,0.0,219.0,43.27272727272727,73.55282579084356,5410.018181818181,0,0,0,1,0,0,0,0,1.0,47.6,54.75,42.833333333333336,136,0,0,0,0,0,0,4,219,6,257,65535,114,1,32,35059.0,3370.0709191350857,37442.0,32676.0,35488956.5,41726851.2833226,64994296.0,5983617.0,0
